url_length,has_https,num_dots,has_ip,num_hyphens,num_slashes,has_at,has_subdomain,label
42,1,2,0,3,3,0,0,1
37,1,2,0,2,3,0,0,1
34,1,2,0,1,3,0,0,1
45,1,2,0,2,3,0,0,1
33,1,2,0,0,3,0,0,1
42,1,2,0,4,3,0,0,1
38,1,2,0,3,3,0,0,1
38,1,2,0,2,3,0,0,1
33,1,2,0,0,3,0,0,1
41,1,2,0,4,3,0,0,1
43,1,2,0,7,3,0,0,1
36,1,2,0,3,3,0,0,1
49,1,2,0,3,3,0,0,1
39,1,2,0,3,3,0,0,1
38,1,2,0,1,3,0,0,1
38,1,2,0,4,3,0,0,1
52,1,1,0,0,5,0,0,1
39,1,2,0,0,4,0,0,1
26,0,2,0,0,3,0,0,1
20,1,1,0,0,3,0,0,1
47,1,2,0,5,3,0,0,1
45,1,2,0,6,3,0,0,1
43,1,2,0,4,3,0,0,1
37,1,2,0,3,3,0,0,1
44,1,2,0,3,3,0,0,1
39,1,2,0,0,3,0,0,1
40,1,2,0,3,3,0,0,1
42,1,2,0,4,3,0,0,1
37,1,2,0,3,3,0,0,1
40,1,2,0,0,3,0,0,1
40,1,2,0,4,3,0,0,1
41,1,2,0,2,3,0,0,1
44,1,2,0,2,3,0,0,1
42,1,2,0,2,3,0,0,1
33,1,2,0,2,3,0,0,1
40,1,2,0,4,3,0,0,1
39,1,2,0,2,3,0,0,1
32,1,2,0,0,3,0,0,1
37,0,2,0,0,4,0,0,1
25,1,2,0,0,4,0,0,1
